iter	Passed	Remaining
0	33	6204
1	62	5821
2	100	6169
3	143	6612
4	190	6978
5	225	6832
6	268	6941
7	312	7025
8	355	7061
9	392	6982
10	430	6919
11	514	7549
12	594	8005
13	646	8033
14	683	7884
15	719	7733
16	764	7692
17	802	7582
18	837	7453
19	880	7393
20	924	7350
21	967	7303
22	1015	7288
23	1065	7281
24	1086	7085
25	1126	7017
26	1172	6992
27	1222	6982
28	1264	6935
29	1303	6866
30	1339	6786
31	1383	6742
32	1430	6718
33	1473	6673
34	1525	6668
35	1577	6660
36	1622	6619
37	1679	6631
38	1722	6579
39	1765	6531
40	1807	6481
41	1863	6476
42	1904	6421
43	1947	6372
44	1989	6321
45	2025	6251
46	2079	6238
47	2121	6186
48	2162	6133
49	2204	6085
50	2248	6039
51	2298	6010
52	2338	5956
53	2382	5911
54	2423	5860
55	2467	5815
56	2509	5768
57	2553	5722
58	2615	5719
59	2652	5658
60	2704	5631
61	2745	5579
62	2788	5532
63	2826	5475
64	2875	5440
65	2911	5382
66	2947	5323
67	2994	5284
68	3031	5227
69	3078	5190
70	3123	5147
71	3233	5210
72	3264	5143
73	3307	5095
74	3341	5034
75	3377	4977
76	3411	4917
77	3445	4859
78	3481	4802
79	3514	4744
80	3578	4727
81	3652	4721
82	3707	4690
83	3743	4634
84	3775	4575
85	3814	4524
86	3856	4476
87	3919	4453
88	3971	4417
89	4030	4388
90	4075	4343
91	4139	4319
92	4185	4275
93	4225	4225
94	4267	4177
95	4322	4142
96	4368	4098
97	4417	4056
98	4467	4016
99	4525	3982
100	4603	3965
101	4651	3921
102	4696	3875
103	4737	3826
104	4788	3785
105	4833	3739
106	4879	3693
107	4934	3655
108	4987	3614
109	5034	3569
110	5077	3522
111	5184	3518
112	5229	3470
113	5280	3427
114	5322	3378
115	5365	3330
116	5421	3290
117	5463	3240
118	5503	3190
119	5543	3141
120	5600	3101
121	5653	3058
122	5706	3015
123	5763	2974
124	5808	2927
125	5844	2875
126	5889	2829
127	5929	2779
128	5970	2730
129	6017	2684
130	6059	2636
131	6102	2588
132	6140	2539
133	6227	2509
134	6275	2463
135	6323	2417
136	6363	2368
137	6402	2319
138	6457	2276
139	6494	2226
140	6539	2179
141	6587	2133
142	6643	2090
143	6687	2043
144	6726	1994
145	6772	1948
146	6811	1899
147	6851	1851
148	6890	1803
149	6932	1756
150	6978	1709
151	7017	1662
152	7065	1616
153	7115	1570
154	7163	1525
155	7208	1478
156	7245	1430
157	7286	1383
158	7324	1335
159	7370	1289
160	7408	1242
161	7447	1195
162	7508	1151
163	7547	1104
164	7609	1060
165	7654	1014
166	7700	968
167	7739	921
168	7784	875
169	7831	829
170	7872	782
171	7924	737
172	7965	690
173	8018	645
174	8054	598
175	8102	552
176	8138	505
177	8181	459
178	8226	413
179	8266	367
180	8309	321
181	8344	275
182	8393	229
183	8450	183
184	8499	137
185	8546	91
186	8597	45
187	8635	0
