iter	Logloss
0	0.6878616607
1	0.6809266079
2	0.6746195352
3	0.6695145933
4	0.6648715032
5	0.6595929054
6	0.6545415516
7	0.651965792
8	0.6504606346
9	0.6479526004
10	0.6434858556
11	0.6402597168
12	0.6369301082
13	0.6344005741
14	0.6308749618
15	0.6277902385
16	0.6253995483
17	0.6200819234
18	0.6178338554
19	0.6164167743
20	0.6147763393
21	0.6131837
22	0.6085871189
23	0.6059377953
24	0.6008321332
25	0.5986701558
26	0.5943456537
27	0.5913621959
28	0.5877821705
29	0.5855927428
30	0.5847332711
31	0.5831090756
32	0.5802337187
33	0.5781349485
34	0.5744813126
35	0.5732687856
36	0.5707382477
37	0.5684567083
38	0.5656226541
39	0.5639614492
40	0.5612581478
41	0.5590728407
42	0.556400496
43	0.552917414
44	0.5519412253
45	0.5498885833
46	0.5483813084
47	0.5454475842
48	0.5430382183
49	0.540167376
50	0.5385069959
51	0.5370327546
52	0.5346070288
53	0.5315864817
54	0.5309457474
55	0.5303847217
56	0.5281352059
57	0.527467818
58	0.5253456511
59	0.5244824739
60	0.5226249937
61	0.5212371733
62	0.5193321152
63	0.5175583436
64	0.5166069331
65	0.5146992872
66	0.5134020134
67	0.5120794385
68	0.5117875815
69	0.5099553352
70	0.5082697787
71	0.5062246111
72	0.50554892
73	0.5040853858
74	0.5026179629
75	0.5003964298
76	0.4998906633
77	0.4997960874
78	0.4996664905
79	0.4983040535
80	0.4963722827
81	0.4949829768
82	0.4943725762
83	0.4933962807
84	0.4912515291
85	0.4907473526
86	0.4895142994
87	0.4883658797
88	0.488042318
89	0.4862289229
90	0.485235783
91	0.4833540642
92	0.482685221
93	0.4812926122
94	0.480681193
95	0.4801064522
96	0.4797521779
97	0.4783530798
98	0.4768816967
99	0.4754421854
100	0.4728236682
101	0.4728215107
102	0.471368605
103	0.4689684907
104	0.4678175736
105	0.4667820207
106	0.4654755454
107	0.4652886803
108	0.4645783961
109	0.4633205579
110	0.4620306362
111	0.4597078432
112	0.4563320528
113	0.4563233927
114	0.4559696916
115	0.4555766899
116	0.4553120346
117	0.4548480561
118	0.4547119458
119	0.4547119398
120	0.4532179652
121	0.4519993143
122	0.4515798265
123	0.4502245879
124	0.4496012705
125	0.4491633064
126	0.4480484892
127	0.4472255026
128	0.4454365364
129	0.4431083581
130	0.4408307919
131	0.4396593755
132	0.4389360507
133	0.4388218175
134	0.4383621435
