iter	Logloss
0	0.685704816
1	0.6759790501
2	0.6661267015
3	0.6579759295
4	0.6505228862
5	0.643478235
6	0.635629352
7	0.628384944
8	0.6198897432
9	0.6123480855
10	0.6102877124
11	0.6039949115
12	0.5986312644
13	0.5933961412
14	0.5874003747
15	0.5817303631
16	0.5749390433
17	0.5683656881
18	0.562859438
19	0.5599547643
20	0.5545910834
21	0.5520372618
22	0.5464954253
23	0.5439031061
24	0.5407964473
25	0.5365969792
26	0.5331351693
27	0.5284212822
28	0.524127558
29	0.5194016278
30	0.5148287487
31	0.5106655762
32	0.5076209
33	0.5030803297
34	0.4985344066
35	0.4976019712
36	0.4965456715
37	0.4945618936
38	0.4915921308
39	0.4892598112
40	0.4887920571
41	0.4859307514
42	0.4823205531
43	0.4785567956
44	0.4763771074
45	0.4746072931
46	0.4703550278
47	0.4692762802
48	0.4671224709
49	0.4637454836
50	0.4617861188
51	0.4593231748
52	0.456301352
53	0.4542907901
54	0.4511109545
55	0.4493115611
56	0.4468382509
57	0.4436987116
58	0.4434213869
59	0.4402907879
60	0.4384656533
61	0.4368429699
62	0.4340846523
63	0.4337702532
64	0.4313541289
65	0.4287567171
66	0.4264628653
67	0.4243971082
68	0.4218589218
69	0.4203075155
70	0.4192590867
71	0.417131576
72	0.4145599624
73	0.4129848806
74	0.4127403684
75	0.4108645889
76	0.4094772262
77	0.4074220892
78	0.4054597218
79	0.4041672825
80	0.4017272139
81	0.3994633169
82	0.3979360252
83	0.3976256065
84	0.3960455984
85	0.3947009044
86	0.3938524471
87	0.3920065575
88	0.3893337808
89	0.387431419
90	0.3856054694
91	0.3850761088
92	0.3823926936
93	0.3822543305
94	0.3810257407
95	0.3796373821
96	0.3779970388
97	0.3773491428
98	0.3763448943
99	0.3761952203
100	0.3746248284
101	0.3725308676
102	0.3705313154
103	0.3693055452
104	0.3690206446
105	0.3683311628
106	0.3679715045
107	0.3670602316
108	0.3658420586
109	0.364712733
110	0.3643616637
111	0.3639640607
112	0.3634673611
113	0.3631322738
114	0.3609716478
115	0.3592824687
116	0.3590084953
117	0.3571482216
118	0.3559832083
119	0.3546168987
120	0.354400305
121	0.352649328
122	0.3515759663
123	0.350860661
124	0.3500639633
125	0.3497124204
126	0.3489378836
127	0.3479686644
128	0.3479607562
129	0.3459600765
130	0.3439758501
131	0.3427772055
132	0.3412182841
133	0.3394503084
134	0.3381192244
135	0.3366548376
136	0.3348979518
137	0.3340700305
138	0.3326864975
139	0.3309199094
140	0.3297903538
141	0.3286131941
142	0.3273394298
143	0.3264684586
144	0.3250305951
145	0.3232638859
146	0.322581359
147	0.3210166923
148	0.3198878272
149	0.3187379616
150	0.3180229147
151	0.3169722102
152	0.3161421123
153	0.3151113989
154	0.314668639
155	0.3142964028
156	0.3136815823
157	0.3121688679
158	0.3113217064
159	0.3106932729
160	0.3101063946
161	0.3080363326
162	0.3062888954
163	0.3050153595
164	0.3038815962
165	0.3027830538
166	0.3015882661
167	0.3015619013
168	0.3012419181
169	0.2998282207
170	0.2996916248
171	0.2987937844
172	0.2987037161
173	0.2971174932
174	0.2957934661
175	0.2949640505
176	0.2933806636
177	0.2926678185
178	0.291320245
179	0.2902865965
180	0.2890254895
181	0.2877867539
182	0.2871494828
183	0.2864640604
184	0.2852181698
185	0.2846370082
186	0.2835557368
187	0.283540228
188	0.282622812
189	0.2821464401
190	0.2811721991
191	0.280202564
192	0.2801736319
193	0.2792062747
194	0.2787027138
