iter	Passed	Remaining
0	58	11410
1	125	12152
2	199	12770
3	266	12733
4	336	12794
5	411	12969
6	478	12850
7	543	12692
8	618	12777
9	701	12968
10	734	12281
11	822	12543
12	906	12689
13	985	12745
14	1051	12622
15	1122	12562
16	1194	12502
17	1258	12377
18	1340	12421
19	1376	12044
20	1440	11937
21	1466	11531
22	1543	11541
23	1581	11265
24	1630	11089
25	1713	11134
26	1786	11114
27	1866	11133
28	1932	11060
29	2011	11061
30	2090	11061
31	2156	10986
32	2227	10937
33	2318	10976
34	2418	11057
35	2456	10850
36	2478	10583
37	2586	10685
38	2730	10923
39	2798	10843
40	2811	10561
41	2902	10572
42	2983	10546
43	3048	10462
44	3124	10414
45	3209	10394
46	3304	10406
47	3385	10367
48	3451	10284
49	3542	10274
50	3623	10232
51	3702	10182
52	3769	10098
53	3835	10015
54	3925	9993
55	3995	9916
56	4063	9839
57	4128	9752
58	4147	9560
59	4235	9530
60	4316	9481
61	4398	9434
62	4485	9397
63	4510	9232
64	4592	9184
65	4685	9157
66	4772	9118
67	4854	9066
68	4943	9026
69	5019	8962
70	5099	8905
71	5169	8831
72	5247	8769
73	5324	8705
74	5352	8564
75	5428	8500
76	5503	8434
77	5568	8352
78	5646	8291
79	5719	8221
80	5793	8154
81	5877	8099
82	5948	8026
83	5973	7893
84	6039	7815
85	6120	7757
86	6310	7833
87	6461	7856
88	6547	7798
89	6622	7726
90	6719	7679
91	6807	7621
92	6894	7562
93	6939	7456
94	7117	7491
95	7228	7454
96	7304	7380
97	7416	7341
98	7522	7294
99	7546	7168
100	7610	7083
101	7689	7011
102	7774	6944
103	7875	6890
104	7941	6807
105	8089	6792
106	8169	6718
107	8248	6644
108	8343	6582
109	8435	6518
110	8485	6421
111	8553	6338
112	8628	6261
113	8679	6167
114	8761	6094
115	8847	6025
116	8913	5942
117	8995	5870
118	9075	5796
119	9149	5718
120	9179	5613
121	9272	5548
122	9344	5470
123	9431	5400
124	9512	5326
125	9568	5239
126	9667	5176
127	9757	5107
128	9779	5003
129	9874	4937
130	9948	4860
131	10021	4782
132	10096	4706
133	10162	4626
134	10232	4547
135	10325	4479
136	10404	4404
137	10495	4335
138	10582	4263
139	10704	4205
140	10855	4157
141	11017	4112
142	11200	4072
143	11344	4017
144	11477	3957
145	11603	3894
146	11725	3828
147	11851	3763
148	11960	3692
149	12033	3610
150	12135	3536
151	12222	3457
152	12315	3380
153	12403	3302
154	12481	3221
155	12543	3135
156	12606	3051
157	12698	2973
158	12797	2897
159	12954	2833
160	13098	2766
161	13232	2695
162	13353	2621
163	13434	2539
164	13525	2459
165	13600	2375
166	13711	2298
167	13757	2211
168	13907	2139
169	14056	2067
170	14140	1984
171	14237	1903
172	14272	1814
173	14351	1732
174	14445	1650
175	14523	1567
176	14589	1483
177	14675	1401
178	14755	1318
179	14873	1239
180	15036	1163
181	15123	1080
182	15210	997
183	15279	913
184	15357	830
185	15442	747
186	15512	663
187	15532	578
188	15604	495
189	15682	412
190	15758	330
191	15828	247
192	15848	164
193	15931	82
194	16004	0
