iter	Logloss
0	0.6611967204
1	0.6346692214
2	0.6150878951
3	0.5974032897
4	0.5733884225
5	0.5591122535
6	0.5464762899
7	0.5352369403
8	0.5238188334
9	0.5126702759
10	0.5051717879
11	0.5015177276
12	0.4944557224
13	0.4936768459
14	0.4930184039
15	0.4860486434
16	0.4829751608
17	0.4799232118
18	0.4727728623
19	0.4684581047
20	0.4648691676
21	0.4627719618
22	0.4590943382
23	0.4566555597
24	0.4527641718
25	0.4476772082
26	0.4447280087
27	0.4399280219
28	0.4362730885
29	0.4360306333
30	0.4329341471
31	0.4304999423
32	0.4281019401
33	0.4269901988
34	0.4262021807
35	0.421555778
36	0.4181274001
37	0.4173394428
38	0.4170047156
39	0.4121260528
40	0.4107822666
41	0.4106380432
42	0.4091429052
43	0.4070173753
44	0.4037382042
45	0.4014705127
46	0.3990481407
47	0.3969219287
48	0.3946441519
49	0.391705714
50	0.3907323821
51	0.3895081285
52	0.3893615334
53	0.3861771203
54	0.3836548673
55	0.3811876846
56	0.3802794208
57	0.3795314696
58	0.3757036522
59	0.3731913697
60	0.3730073011
61	0.3715057372
62	0.3704341957
63	0.368461695
64	0.3674568424
65	0.3670207724
66	0.3633911971
67	0.3615737368
68	0.3605078665
69	0.3565018889
70	0.3547392785
71	0.3540203601
72	0.3493037403
73	0.3470447269
74	0.3467540863
75	0.3453223743
76	0.3434280547
77	0.3412625645
78	0.3401333172
79	0.3381111368
80	0.3363190341
81	0.3348114772
82	0.3332681154
83	0.3326292093
84	0.33111764
85	0.330490323
86	0.3292726535
87	0.3269211843
88	0.3248551331
89	0.3241755321
90	0.3228908356
91	0.3202062247
92	0.3200556614
93	0.3181870601
94	0.3168873852
95	0.3148748843
96	0.3134263261
97	0.3130529241
98	0.3128042369
99	0.3111459073
100	0.3096616421
101	0.3090745922
102	0.305333712
103	0.3044255879
104	0.3032425336
105	0.3010177618
106	0.2996605921
107	0.2994065865
108	0.2974205019
109	0.2956813281
110	0.2938771304
111	0.2923837811
112	0.2907932999
113	0.2886945462
114	0.2872551803
115	0.2842883998
116	0.2839793105
117	0.2802739621
118	0.2794562314
119	0.2784024309
120	0.2777705574
121	0.277338857
122	0.2758391051
123	0.2747911494
124	0.2741040836
125	0.2724033883
126	0.2714425058
127	0.2704059661
128	0.2675297198
129	0.2670314589
130	0.2648838488
131	0.2632738082
132	0.2626425031
133	0.2609117869
134	0.2598458741
135	0.2564567113
136	0.2550474709
137	0.2534865395
138	0.2515882632
139	0.2478683196
140	0.2464383076
141	0.2449599728
142	0.2441983983
143	0.2435101386
144	0.2424678356
145	0.2415346537
146	0.2396649982
147	0.2392686256
148	0.2367563394
149	0.2359796374
150	0.2350239937
151	0.2332558841
152	0.2324780886
153	0.2324209499
154	0.2318274077
155	0.2303403256
156	0.2292449564
157	0.2277379684
158	0.2268672848
159	0.2253165742
160	0.2234517156
161	0.2219701846
162	0.2202605515
163	0.2167785559
164	0.2148731992
165	0.2127499941
166	0.2105895958
167	0.2105118978
168	0.2093217386
169	0.2081743833
170	0.2065930137
171	0.2065560757
172	0.2054728015
173	0.2046743199
174	0.2045241123
175	0.2044251973
176	0.2042161571
177	0.2037973304
178	0.2029612364
179	0.2023242789
180	0.2021574533
181	0.2002194081
182	0.1998176754
183	0.1984771831
184	0.1981083278
185	0.1969401315
186	0.1957519875
187	0.1948165989
